genotype,day,fly_id,chamber_id,fly_id_64,var,exp_name,date,flies_remaining,jumpdata
GD,7,1,1,1,1,1893mb,2024-03-05,30,000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000100000000100000010000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000110000000000000100000000000000000000000000000010000000000000000000000000000000010000000010000000000000000000100000000000000000000100001000001000000000000001000000000000000000000000000000000100000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000001000000000000000000010000100000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000011000000000101001010000000000001000000000100010000000000000000
GD,7,2,2,2,1,1893mb,2024-03-05,30,000000000000100000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000010000000010010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100010000000000000000000000000000000000000000100100000000000000000100000100001000001000000000000000000000000000010000010000010000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000100000000000000000000000000000001000000010000000000000000000000000000000000100000000000000000000000100001000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000010000000001000000010000000000000000000000000000000000000000000000100000000000000100000000000001000000000000000000000000000000001000000100000000001001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000011000000000000000000000000000001000000000000000000000000010000001100011110000110011101110000100001101010001
GD,7,3,3,3,1,1893mb,2024-03-05,30,000000000100000000000100000000000100000000000000000000000000000000000000000000000010000000001000001000000000010000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000010000001000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000100000000000000000000000000000000000000010000000000000000100010000001000000000000000000000000000010000000000000000001010000000000100000000100000000001000000000000000100
GD,7,4,4,4,1,1893mb,2024-03-05,30,000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000001000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000101000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
GD,7,5,5,5,1,1893mb,2024-03-05,30,010010000001000000010000100100000000100000000000010000000100000110001101100010011111000010000000000000000000000000000000000000000000010000000000000000000010000000001000010010001001000111110000000000001000011011100000000001001100000010000000000000100000000000000000000010000000010011010000011100010000010000011000000001010000101101000001000010011000100000000000000000000000000000000000100000010000000110101000001000000001010001011010000000010001001000000000001000000000000010000000000010001000000000000000100010001000100000000100000001000000000010000010000000010000001000000000001000001100111011010000100101000000000001000000000100100000100000000000000000010100100000001100011001000000001000000010001000010000100110100000000000000000010000000000000000010000010101000010000000101010001100000001010001011100000000010100000000000010011000000000000010000000000000000000001000000010000110000010010001000100001111000000000000000010000000000000000010000000000001011000010010000000110001000000000000000000000010001000101000110011010101010010110001101001111000
GD,7,7,7,7,1,1893mb,2024-03-05,30,000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000011010000000010000000000000100100000000000000000000
GD,7,10,10,10,1,1893mb,2024-03-05,30,101110111010110010010100001001000101000000100100001000000110100110010010010001000000000000010010000000011010000001010101100001010100100000000010101010000000100000001100000000000000000000000000100000101001100110000001100100010000010101001001000010000000001000101000000000000100101100000000100000000000010100111100000000000010000100000001001000100000101100100110010000000110000011000011000011000010000011100001001010110100000001010001100000000000000000000000000000001010100001001011101100001011000000100010000000000100001100000010010110100000010000000000101000100010000100100000001000000010100010001000101000000100010100001010000000000000001000000000010000100101100000010001000100001000000000000100000000000011010100000000100100100101000000100010000000001001000000011000000000000100000010000000010000001010110010101000100000000000101001000110100000100010000001111000011000010010000000111000010101010110111000011100100101010000000000000000101000000010000001010100100001000011000000010000100000000000100010111110100111010000011111000000001101101011000010
GD,7,11,11,11,1,1893mb,2024-03-05,30,000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000100000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
GD,7,12,12,12,1,1893mb,2024-03-05,30,100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000001000000000000010000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000001000000001000000000000100000000000010000000000000000000000010000000100000000010000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000000011000000000000000000000000000000000000010000000
GD,7,13,13,13,1,1893mb,2024-03-05,30,001010010000000000000000000000000000001000000000000001000000000000000000000000000000001000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000100000001000100000000000000000000000000000000000000010000100000000100000100000000000101000000000000100010000000000000000000000000000000000000000000000000000000010000000000000010000000000000000010000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000100000000000000000000000000101000000000000000000000000000000000000001000000000000000000000000100000100000000000000000000000000000000000010000000010000000000000000000000100000000000100000000000000000000000000000000010000000000000000000000000100000000000100000100000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000101001000000010000000000000000010000000101010
