genotype,day,fly_id,chamber_id,fly_id_64,var,exp_name,date,flies_remaining,jumpdata
KK,14,1,3,1,1,1929mb,2024-03-12,30,001000011100011010000000100000000000000111100001000101011101100001001000000000000001000000000000100000000000001001110010000000001100010100000000000000001000001000001000000000100001000000000000000000000000000000111010010000000000000000000100011000000000000101010010100000000100000110000000001000000100000000000000011000001100000100010000100000000001000010000000000000001100000000000000000000000001100100000110000000000000000010001010000000000110010000100010000101010000000000000100000000000000000000100001100000000000000000001010010000010001101101000000000000000000000110000000000001100100000000000000000000100010000000000000000000000000000110010000000000001000000000010010000000000000000000100001000000001000010000000000000000000000000000010000000000000000000000001000000000000000000000000110000000000000000000100001010000000000000000000000000000000000000000000000000000000111100001000111001011000000000000000110000001000000000000000000000000001000000000100000000000000000000000000000000000000001010011000000000000000000000000000001001000000001100010
KK,14,2,4,2,1,1929mb,2024-03-12,30,010100001110000100000000000100001000100000001100010000100000000100010000001000001000100000000000000000000000000000000100100000000000000000000000101010000101001001000000000000000100000000000000000000000110001000010001000000000000000000000001000100000000100000000000000000000000000101000100000000000000000000010000000000000000000000000000000000000000000000000000010010010000000000000000000000010000000011000010010000000000000001000110000000000000001000000000000000110100000000001000000000000000010000001000000000000000000001010000000000001000100000000000000000000000000000000000000000000000000000000000110101101000000000000000000000000000000000000000000000000000000000000000000110000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010100000000000000000000100000000000000000000000000000000000001000000000000010000000001100010000000000000000000000000000000000000000001000000000000000000000000000000000000100000000001000000000000000000001110101000110000101100000011110101100011010010101
KK,14,3,5,3,1,1929mb,2024-03-12,30,101001100000000000000000000000000010000000000100000001000000000000000000100000000000000000000000010001000000000000010000100000000000000000000000000000100000000001000100000000000000000000000000000000000011100000000000000000000000000000000000000001000000000000000000000000000000010010000100000000000000000000000000000000000001000000000100000000000000100010000001000000000000000000011000000000000000000010000000001000000000100000000000000000000000000000000000000000000000000000000000000010000000001000000000100001000000010001000010000000000000000000000000000000011000000000000001000000000001000100000000111000000000000000000000000000000000000000000000000001000010000100000000000000000100000000000000001000000001000000000010000000000000000000000000001000000000001000000000000000000000000100000000010000001111000000010000000000000000000000000000000000000000010010000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010100100110110100010010011110100100010011010010001
KK,14,4,6,4,1,1929mb,2024-03-12,30,100000000100000000000001000000000000100000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000100000100000000000010000000000000000000100000000000000000000100001000000100000000001000000000000000100000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000001001100000000000001000010000000000000000000100000000001000000000000000000000000000000000000000000100000000000000000000000000010001000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001101001000000000000000000000000001100001001
KK,14,5,7,5,1,1929mb,2024-03-12,30,110000000100000000000010010000000000000000010000000000000100100000100000000000000000000000000000001000000000000000000000000000010000000010000000000000000000000000010000001000000000000000000000000010001010000100000000000000000000000100000100000000000000000000000000000000000010000000100000100000000000000000000000000000000000010000000000000000000100100100000000000000000000000000000000000100101000000000101100000000001001000000000000010000010000100000000000000000010000000000000000000000000000010000001000000000001000000000000001000100000000000000000000000000000000000000000000000000000000000010000000001000101001010000000000000000100000001100000000000000010001000000000000000010000000000000000000001000000000000000001000000000000000000000000001001000000000000000010001000000010001001000000001000000001100110001000001000000000000000000000000000000000000000101000100010000000000100000000000000000000000100100000010000000000001000000000000000000000000000001010000000000000000000000000000000100000000000010000010010100100110100010100010100001001111000011
KK,14,6,8,6,1,1929mb,2024-03-12,30,111001000110100010110010000101001000000000000000000100001000100010001001010001000100000000000000000000010000000000000000000000010000000100000000100000010000000000010001000010000101000001000000000000001110000001010000000000100000000000000000011000000000000000010000000000001100010000000010000000000000000000000000001000000000101000010100000010010000010000100000001000000000000000100000000000110100111001101000010000000000000001000000000001000001000010000000100000000000000000000000000000000000000000000000000000100001000000100100000000000000000000000000000000100100010001100000000010000000010010000000000000101000001000000000001000010000000000000101000000000000000000010000000000000010000000001000000001000001000000010000000000100000000001000100101000010000000010001000000010001000001000000000000000001010001000000000001000000000100000110000000100100101000010101000100010000000001000000000000100000000000000000010000010100010000000000000000001000000000000101000000010000100010000000100100000000000000011100001000100000001110011110100011001001101000000
KK,14,7,1,7,1,1929mb,2024-03-12,30,100001100110011100001010000000011110100010000000100001010100000010000010111000000001000001000001110100000100000000000000000000010100000010101000001000000000000000000100010001010001100001101101000000000010100111000001101100100000001000100011000000100000000101000000000000000000000000000010101100000001100000011000000000100000000000011010000010010000000111000000000110100000000100000000000001110000111001100100001101000110100001100000000000010011101100001100110101100000001000001010000000000100000000000000010010100100000000000000000100000000010100000010101001010000000000000000010100000000000100010010011010001111011011011100010000000100000010010000000000000011010100001001110101100000101000000000100000100000000000000000001001001000000010010100000000001000000001000110001010010000001000000001100001100001001011010000101011010000000000010000001000100000000000001101000000001000000000001000000001000010010100000000101111111010010000000001000011000000100100000000000000000000000011100101100000000000011000101100010001000101101001111010101101101001100110
KK,14,8,2,8,1,1929mb,2024-03-12,30,101000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000101000010000100000000000000000000000000000110001000000000000000000000010000000000000001000000000000000000000000010000100000001010000000000000000000000000000000001000000000101000000000000000010000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000100011001000000000000000000000000000000000000000000000000000000000100001000001000000001000000000000000000000000000000000100000000000000000000000000000000000001000100100000000001000000000000000000000000000100000001000000000001000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000100000000000001000001000111010101011000001010000001000000001100
KK,14,9,11,9,1,1929mb,2024-03-12,30,110000000000000000000010000100000000001100010010000000000011000000000000000000100000000010000000010000000000000000000000000000100000100010000000100000000010110011000000000000000000001000000000001000001001010101000001001000000000000000100000000000000000000010000000000100001000000100000000000100000000000000010000000000000000000001010000000000000100100000000001001010000000010001000000000000000000000010100010000001000000101000000000001000000000000000000000000000000000000010000010001010000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000001000000010000000000011001000000000000000000000000000010000000000000000000000000000000010000000110001000010000000000010000010010000000000100000100000010000010000000000100010000000000000100000000010010000001000000000010001001000001010000001000000000001000000000000000000100000000000010000000000001000000000101000110001010001101000010000000000001100000010000000000100000011000010000000010000010001100000000000000000000010011011101101000110111111111100111100110001101000001
KK,14,10,12,10,1,1929mb,2024-03-12,30,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
KK,14,11,13,11,1,1929mb,2024-03-12,30,001100101000000001010100000000000001000000001000000000010000000011000001001010101000100100000000000000100000000100101011000010000100110010000011000000010100000000000000000000000000110000000000010000000010010001010000000000000000000011000000100000100001000001000000000000000100000000000000001010100100000000001001000000010000000000010000000000000100010001010000001000001000001001010001001001000010000001000000100011100001010100001000110001010001000001010100000000010000000100000000001010100000111101100000001000000010000000100000000000001100000000011000100000000000101000001001001000000010001000000011000010000100001010100010010001001000010000001100010000000010011000000000000100000010001000000000001101000001000010000000000001000010010000000010001100000000100010100010100000000000000000010000000000001010000000010101000000000000000000000010000011000000000010011100011100000000000100101000000000001010000000110010010000000000000001000000000000001010101000000010001010000000000010010001001100000101000011111011001111011101000101100001000010111111000110
KK,14,12,14,12,1,1929mb,2024-03-12,30,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000010000000000000000000100100001000000000000000000000000000000000000000100000011000000000000000001000000001000000000100000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000000000000001001100000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000100000010000000000000000000000000000000000010000000000000000000100000001000000000000000000010000000000000000000000000000000000000000000000000010000000000000010000000000000000100000100000010000000001000100000001000000000000000000000000000000000000100000010000000000000010010000000001100011
KK,14,13,15,13,1,1929mb,2024-03-12,30,111000001100010000001000000010001000001000001010000000000010000000000100000010011000000001000001000101000100000000000010001000000110000000000000000000000000100000000001000111001001000001000000000000000100110000000000000010000100000000000000010000000000010000000000000000000000000000000000110000000000000000100000001000000000000000000000000000001000000000101000001000010000100000000000000000000000000011000100000000000000000000100000000100010000000001000001000000000000000011000000000000000000100000000011000000000010000000000000000010000000000000100000000000000001000000000010100000000000000000001001100100000000000000001000010001000000000000000001000000000000010000100000000000000000000000010001000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000001000000000000000000000000000001000000000000000000000000100100000000000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000011101110101110000100001010001111000111110110001101
KK,14,14,16,14,1,1929mb,2024-03-12,30,111110001001000010010010100000100011110011001010000100110000000100111010001010010100100000010001010100001000001011001000000000000000000000000000010100100001010110000100101010001000000110001000110100111011010101000011000000000000000000011001010001010101110000000101101000010000000000000001100001010010010100110110010100100100100100010001110000000010101111101000110100011011001100000000000000000000000010111000000001000000000000010000110001000001111110000010001000000000101011011000010000010000000011111101000010100100101000000000001010001001001010100011000111101000000000000010110000001010010000101010001100100110100000100101000000000000000000011000101000100010010101010000010100100000000100101000010001110111010001000100000110000011001100101001101000011000000001000010111001000011000110101010000000111011100000000100000000000101010000001010100000100011010101001000100011011001010101010101010001000100000000000011000100000000010010001101101001100000000000000000000000010000010100101011000000000100000011001111011111111111111101111011101111101010110111
KK,14,16,10,16,1,1929mb,2024-03-12,30,001000100000001000000100000000000000000000000000000000000000000001000000000000000100000010000000000000000000000000000000000000000001000010000000000001000000000000000001000000000000010000000000000000000001000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000100000000000000000100000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000100000000000000000000000100000000000000010000000000000000000011000000000000000010000000000000000000100000000000000001000000000000000000000000001001000000000000000000000000000000000000000001010001000000000001000000000000001000000000000000001000000000000000000000000100001000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000010000011000010100010010100000010010000000000000000
KK,14,17,19,17,1,1929mb,2024-03-12,30,110011110110101000000001101001000000000010000000000000100000010000000000000001010000000010010000100000001100000000000000100000000010000000000000000010000100000000000000000100011000000000100000001000000010100000000100001001000100000000010010000000000000000000001000101000010100010000100001100100000000001000000001000000001000100000000010000000110010000000000000000000000100000111000000000000000000010000010000001000000000010011001000000000001000100010000000000000000000000101000010000000100001000011000000100001000001000000010100000000000000000000010000000000000001000010010001010010110101000000000000100101000000110000000000000000100001101000000000100100000000000000000000000000101000010000010000010000101000100000000000000000000000000000000000000000000001000000001100000000010001000000001000100001000000111110000000000000000010000000000100100000100001100011000101001000000000000000000000110000000010000000000000010010001010000000000010000010000100000000100010000000000010000001000000010000100000000000000010000111110011100110011001000101111010100010
KK,14,18,20,18,1,1929mb,2024-03-12,30,011110000000000000001000000000000100000000000000001100000000000000000000000010001000000000000001001000000010000000011000000000000000000000000000000000000100010001000000000001000000010000000000100000010000100000010000000000000100000100000000100000000100100100000100000000001000000000000000000011000000110100000010101000000000000000000000000000010100000000010000000000001000010000000000100000000000000010000000100100000000010110000001000100000000000000000000000000000000000000000000000000000000000010000110000100001000000000001000000000000000000000000010010000000000000000000100000000000100010000000100001001000010010010000000000000000000010100000000000000000001010101010010000010000000000000001000001000000100100001000000000000100000001001001000000000001010100000000000000001000000010001000000000000001111100101000000000000100000000000000000000000000000000010100000010101000000000001010000000000000000010000100000000000000010000000000000000100000000000000101001000010100001000000100001000000000000000011001011000000110011000000010101000110010101000010
