genotype,day,fly_id,chamber_id,fly_id_64,var,exp_name,date,flies_remaining,jumpdata
KK,21,1,5,1,1,1973mb,2024-03-19,30,000000001010000000000000000000000000000000010000010000010000000000000000001000001000000000000000000000000011000000000000000000000000000001100000010000000000000000000000000000000000000000000000000000000100000001000010000000000000000000000001010010000000100000000000010000001100000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001011000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000001000000000000110010000000000000000000000000001000000000000000000000000001000000000000000000000100000100001001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000001000000000000000
KK,21,2,6,2,1,1973mb,2024-03-19,30,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001100000100000000000
KK,21,3,7,3,1,1973mb,2024-03-19,30,100000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000010000100000000000000000001000000000000000000000000010000000000000000000000000000000000000000010000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010010000000010100000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000001100000000010001000000100000010010000001000000000000000000000001000000001000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001100000000001000000000100000000000000000000000000000000000001000010000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000001111001001001010000010000000110011001100001
KK,21,4,8,4,1,1973mb,2024-03-19,30,000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000001000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000100000000000000000000000000000000000000000000
KK,21,5,1,5,1,1973mb,2024-03-19,30,000000000000000000000000000000000000000000000000010000000000010001010000001000010000000001000010000010000010000000010000001010010000000000000000000000000000010000000000000000000000100000010000000000001100100010000100001000010010000001000001010000000000000000001000000000000000001000100000000100010000000000001001000000101000000010000000001001000000000000010100001000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100100000000010000100000000100000000000000000000000000000000000000000000000000000000010000000000000100001000000000000010000000000000100000000100001000000000001000000000000001000000000100000000000000000000001000000100000000000000000100000000100000000000000000010000000000000000100000000000000000000000001000010001000000000000000000010000000000100000010010100000001000010010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000010000000000000000100000000000000100010000100010000000110100011111100101110000110000100001110111000001010
KK,21,6,2,6,1,1973mb,2024-03-19,30,110010110000001010000000000100000100000000001100000001000001000000000000001010010001000000100000000001000100000000000000000000000000100000000000000000000000000000000100000001000100000000000000000000100000000000010000001001010000000000000000000000000000010000100000000000000000000000000000000000000000000100000000000010000100001000000000000000000000000000000000000000000000000000000000000000000000001001010000000000000000000100000001000010000000000000000000000000000000000000000000011000000100000000001000000000010010000000000000000000001000101010000000000000000000000000000000000000000000000100000000110000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000010000000000000000000100000100000000000001000000001000000000000000000000000000100000000000001000000000000000000000000000000000000000010000000000000000001000000000000000001000000001000000000001000010000000000001000000000000000000001000000000000000000000000000000000000000000000000000000100111010001111000101111110001000100111000
KK,21,7,3,7,1,1973mb,2024-03-19,30,101110111101011001111011011001111000000011100011000000000111011000011100100100110100010000101100011010011000000000010100010000100000100000100100000011100000000000001000000110000010000111100110110000100100101110101111000000101010000100000100110100111101000000001100000001001100101111011100110100100100010001100000000000011001000011100111101100010000011010100001000001000010010000010100001000001010001100110000110000010000000010110000101100100010110100000010110011110000000110001000111110000100001000011000000110000000000000000000000010000000000011011010001000011100000010000000000000000011110010010000111111011100110010000000000000000000000101111000001010101000001000001001111010001001010111000000000010100100000000000000011110010000100100001000000001000000000010010000000011100010110000000100001111000100110101000100100010000001000000000000001001000000101110000010111101001111010000100000001001011000000000111100000011100100010110100000100010000100001000100000000010000001001001000011000100001100000001101111110110111111111101110001011011111100101011
KK,21,8,4,8,1,1973mb,2024-03-19,30,101000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000001000000000000000000000000100000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000001001011000000010000000000000111100010
KK,21,9,13,9,1,1973mb,2024-03-19,30,000000000010000000000000000100000000000000000000000000000000000000000000100000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000100010000000001000000000000000000000000000000000000000000000000000000000001000000100000000100000000000000000001100000000000000000000000000000000000000000000000000000000000100000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000010000000000000000010000010110110000000001
KK,21,10,14,10,1,1973mb,2024-03-19,30,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
