genotype,parameter,dayA,dayB,correlation
GD,alpha,7,14,0.3011525005874344
GD,alpha,7,21,0.24565681145975188
GD,alpha,14,21,0.17227122834330352
GD,beta,7,14,0.4804683406732618
GD,beta,7,21,0.24962229833786329
GD,beta,14,21,0.32493258417412074
GD,p0,7,14,0.3882106639658177
GD,p0,7,21,0.3425647280022358
GD,p0,14,21,0.4934510191768591
KK,alpha,7,14,0.13052638584809195
KK,alpha,7,21,0.20426827729721259
KK,alpha,14,21,0.13428869261480775
KK,beta,7,14,0.3716184030486812
KK,beta,7,21,0.2762095362230788
KK,beta,14,21,0.564263432569127
KK,p0,7,14,0.5104995968992777
KK,p0,7,21,0.36869223142615226
KK,p0,14,21,0.6364795002593107
