genotype,day,fly,fly_id,alpha,beta,p0,log_alpha,log_beta,logit_p0,chamber_id,fly_id_64,var,exp_name,date,jumpdata
GD,7,0,1,0.23002985835,0.49985349484624997,0.1584535694375,-1.4695461595716441,-0.6934402338033528,-1.6697795749594238,1,1,1,1893mb,2024-03-05,000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000100000000100000010000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000110000000000000100000000000000000000000000000010000000000000000000000000000000010000000010000000000000000000100000000000000000000100001000001000000000000001000000000000000000000000000000000100000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000001000000000000000000010000100000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000011000000000101001010000000000001000000000100010000000000000000
GD,7,1,2,0.3200135056375,1.212268675875,0.453077162375,-1.1393920789617884,0.19249354284464584,-0.18824528045439684,2,2,1,1893mb,2024-03-05,000000000000100000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000010000000010010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100010000000000000000000000000000000000000000100100000000000000000100000100001000001000000000000000000000000000010000010000010000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000100000000000000000000000000000001000000010000000000000000000000000000000000100000000000000000000000100001000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000010000000001000000010000000000000000000000000000000000000000000000100000000000000100000000000001000000000000000000000000000000001000000100000000001001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000011000000000000000000000000000001000000000000000000000000010000001100011110000110011101110000100001101010001
GD,7,2,3,0.231020646525,0.458460974855,0.134469050525,-1.465248193558295,-0.7798801057281548,-1.86200906810457,3,3,1,1893mb,2024-03-05,000000000100000000000100000000000100000000000000000000000000000000000000000000000010000000001000001000000000010000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000010000001000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000100000000000000000000000000000000000000010000000000000000100010000001000000000000000000000000000010000000000000000001010000000000100000000100000000001000000000000000100
GD,7,3,4,0.27308726726125,0.37762756320787505,0.06639371934999999,-1.297963874580026,-0.9738468515912866,-2.6434523443892344,4,4,1,1893mb,2024-03-05,000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000001000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000101000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
GD,7,4,5,0.297661934375,0.4753569314,0.4673053745,-1.2117968848564487,-0.7436893226067499,-0.1309653738864535,5,5,1,1893mb,2024-03-05,010010000001000000010000100100000000100000000000010000000100000110001101100010011111000010000000000000000000000000000000000000000000010000000000000000000010000000001000010010001001000111110000000000001000011011100000000001001100000010000000000000100000000000000000000010000000010011010000011100010000010000011000000001010000101101000001000010011000100000000000000000000000000000000000100000010000000110101000001000000001010001011010000000010001001000000000001000000000000010000000000010001000000000000000100010001000100000000100000001000000000010000010000000010000001000000000001000001100111011010000100101000000000001000000000100100000100000000000000000010100100000001100011001000000001000000010001000010000100110100000000000000000010000000000000000010000010101000010000000101010001100000001010001011100000000010100000000000010011000000000000010000000000000000000001000000010000110000010010001000100001111000000000000000010000000000000000010000000000001011000010010000000110001000000000000000000000010001000101000110011010101010010110001101001111000
GD,7,5,7,0.11971148713125002,0.77983748885,0.31413486745,-2.1226707050138804,-0.24866972863408698,-0.7808586007508537,7,7,1,1893mb,2024-03-05,000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000011010000000010000000000000100100000000000000000000
GD,7,6,10,0.13478033285000002,0.1710190090625,0.5347026193750001,-2.004108989887059,-1.7659805645495616,0.1390340113155679,10,10,1,1893mb,2024-03-05,101110111010110010010100001001000101000000100100001000000110100110010010010001000000000000010010000000011010000001010101100001010100100000000010101010000000100000001100000000000000000000000000100000101001100110000001100100010000010101001001000010000000001000101000000000000100101100000000100000000000010100111100000000000010000100000001001000100000101100100110010000000110000011000011000011000010000011100001001010110100000001010001100000000000000000000000000000001010100001001011101100001011000000100010000000000100001100000010010110100000010000000000101000100010000100100000001000000010100010001000101000000100010100001010000000000000001000000000010000100101100000010001000100001000000000000100000000000011010100000000100100100101000000100010000000001001000000011000000000000100000010000000010000001010110010101000100000000000101001000110100000100010000001111000011000010010000000111000010101010110111000011100100101010000000000000000101000000010000001010100100001000011000000010000100000000000100010111110100111010000011111000000001101101011000010
GD,7,7,11,0.296135685899325,0.331130709557125,0.035092894603749994,-1.2169375313819544,-1.1052420886329357,-3.3140331558293314,11,11,1,1893mb,2024-03-05,000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000100000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
GD,7,8,12,0.3017662491,0.5342951360323875,0.106332845125,-1.1981025709100062,-0.6268069034991376,-2.128759173060469,12,12,1,1893mb,2024-03-05,100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000001000000000000010000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000001000000001000000000000100000000000010000000000000000000000010000000100000000010000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000000011000000000000000000000000000000000000010000000
GD,7,9,13,0.20527870611250001,0.45044151219999995,0.2004694638125,-1.5833866811719899,-0.7975270389970615,-1.3833627906895833,13,13,1,1893mb,2024-03-05,001010010000000000000000000000000000001000000000000001000000000000000000000000000000001000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000100000001000100000000000000000000000000000000000000010000100000000100000100000000000101000000000000100010000000000000000000000000000000000000000000000000000000010000000000000010000000000000000010000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000100000000000000000000000000101000000000000000000000000000000000000001000000000000000000000000100000100000000000000000000000000000000000010000000010000000000000000000000100000000000100000000000000000000000000000000010000000000000000000000000100000000000100000100000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000101001000000010000000000000000010000000101010
GD,7,10,14,0.15527858596250002,0.4552699939875,0.25885525977499996,-1.862534446535205,-0.7868646426403002,-1.0519268742381434,14,14,1,1893mb,2024-03-05,000000100000000010000000000000100000010000000000000010000000100100010000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000100000000000001100000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000100000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000010000100000000000000000000000000000000000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000001101000000000000110000000101010000000100
GD,7,11,15,0.24250686022500004,0.701241242375,0.30721568949999994,-1.416725279417113,-0.3549033108150145,-0.8131686379243587,15,15,1,1893mb,2024-03-05,010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000100010000000000000000000000000000000000000000000001000000000000000001000010010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010010000000000000000100001000001010001000000100000000000000000000000000000000000000000000100000000000000010000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000001000000000010000010000000000000000000000000000000000000000000000100000000001000000000000000000000100000010000000010000000000000000100100000000000000000000000000000000000000100000100000000000000000010000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000001100000000000000000000000000000000000000001000000000010000000000000100000000000000001000000000000000000000000000001000010000000010000000000000000000000000000000000000000000000000000000000000000000000001000100010100000000010010001100000010010100000000
GD,7,12,16,0.28797192974999997,0.5160335310625,0.17261222356250003,-1.244892269742158,-0.6615835329325935,-1.567225884137726,16,16,1,1893mb,2024-03-05,100000000100000000000000000000000100000000000010000000000000000000000000000000000000010000000000000000100000000000000100000000000000000000000000000000000000000000000000000100010000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000100001000000000001001000000000000001000010000000100000000000000000000000000000000000100000000000000000100001000000000100000000000000000000000000000000000100000000000000000000000000010000000000100000000000000000000000000000000000000000100000000000001000000000000001000000000000000000000000000001000010000000100000000000000000000000010000000000000000000000000010000000000100110000000000001000000000000000000000000000000000011000010000000000000000000000000000000001000000000000000010000001000000000000001000000010000000001000010000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000011000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000110000010000000000000000000100000000010000000
GD,7,13,17,0.1548679597425,0.377027988751375,0.09831489716249998,-1.8651823977416067,-0.9754358535700045,-2.2160897855624393,17,17,1,1893mb,2024-03-05,000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000100
