genotype,day,fly,alpha,beta,p0,log_alpha,log_beta,logit_p0
GD,7,0,0.290307428875,0.6887179225,0.295135832375,-1.2368148179413982,-0.37292349310231443,0.7941322831702831
GD,7,1,0.13725590575000002,0.159217734125,0.574768265,-1.985908170374326,-1.8374826165183076,-1.6640600649104884
GD,7,2,0.1291063175,0.228355517375,0.7574195062499999,-2.0471190473926555,-1.4768515777205362,-1.2176202279592434
GD,7,3,0.11408046124999999,0.08797784525,0.5552850225,-2.1708512791090375,-2.4306702547231547,-2.3385792580093265
GD,7,4,0.26087224925,0.77594841875,0.50164250375,-1.3437244579623573,-0.2536692316911818,1.2422097485072738
GD,7,5,0.22317049925,0.5379373175,0.54419646625,-1.4998192290294423,-0.6200132358312443,0.1520414848654387
GD,7,6,0.488935981875,0.4583992686125,0.32572676875,-0.7155237144886094,-0.7800147091053495,-0.16678850214041757
GD,7,7,0.395006510625,0.848429928125,0.346868519,-0.928853031621915,-0.16436778095316001,1.7223394593821852
GD,7,8,0.10521824062499999,0.107704748875,0.41413113500000004,-2.2517186037373484,-2.2283616022449966,-2.114403400093837
GD,7,9,0.11500829562499999,0.36875193749999996,0.41847616875,-2.1627510173509887,-0.9976311171046229,-0.5375747494004146
GD,7,10,0.4113804154375,1.030423739875,0.1475891795,-0.8882369075694863,0.029970115577508692,
GD,7,11,0.041566210624999995,0.129152421375,0.7235381425,-3.1804676863556365,-2.0467620110678397,-1.90847369778653
GD,7,12,0.21342013162499998,0.530197095,0.56835918875,-1.5444926070522722,-0.634506464206726,0.1209355590873835
GD,7,13,0.20190222575,0.7238572925,0.54409560625,-1.5999717297023164,-0.3231610158317416,0.963676474901301
GD,7,14,0.27370654712500003,0.208872481875,0.49518417625,-1.2956987424141482,-1.5660313477945456,-1.3317352348701057
GD,7,15,0.12060811187500001,0.395454623125,0.264081115,-2.1152087343059742,-0.9277192312897511,-0.42444068468169144
GD,7,16,0.32560072425000003,0.42438045974999994,0.42279658,-1.1220834205011887,-0.8571249153616552,-0.3048165584363985
GD,7,17,0.11291740837500001,0.12060975312499998,0.6189268099999999,-2.181098626843223,-2.11519512627574,-1.9866686133204072
GD,7,18,0.160089913875,0.196355566125,0.7229301162499999,-1.8320196598709158,-1.6278281503843608,-1.4092297963372695
GD,7,19,0.16111658062499998,1.1920040985000002,0.24566413980000001,-1.8256270727730843,0.1756360069761733,
GD,7,20,0.406680156,0.91208168925,0.277564670625,-0.8997282599812698,-0.09202572137304443,2.339321461187844
GD,7,21,0.16208793524999998,0.308008502375,0.5212686725,-1.8196162808327265,-1.1776278912759404,-0.8094462811669161
GD,7,22,0.31105052699999997,0.38386844600000003,0.6015118125,-1.1677999137611708,-0.9574553736329375,-0.47316059707158076
GD,7,23,0.203333473875,0.29370377475000004,0.4869725975,-1.592907919294604,-1.2251835884597453,-0.8774630414778072
GD,7,24,0.18412692925000002,0.45139545625,0.58235267,-1.6921299263180511,-0.7954114805554333,-0.19503406248872668
GD,7,25,0.17131014787499999,0.407781685,0.67866878375,-1.7642796350389285,-0.8970233335717759,-0.37314339683057
GD,7,26,0.10909004462500001,0.12541549700000001,0.6115510749999999,-2.215581640306646,-2.076123077876498,-1.942116718758961
GD,7,27,0.25763512125,0.54883431875,0.49646740375,-1.3562109537892153,-0.5999586703601891,0.19596197239028507
GD,7,28,0.2723487285,0.512958972125,0.35423652650000004,-1.3006719437882828,-0.66755941337417,0.051847499923987406
GD,7,29,0.28146021425,0.19884594737500003,0.7825774325,-1.267764176204597,-1.6152248878479114,-1.3935228628165115
GD,7,30,0.24954629512499998,0.573811091875,0.321430024,-1.388110829399927,-0.555455045062277,0.29741753964092693
GD,7,31,0.176887835375,0.5668595803750001,0.43002717125000006,-1.732239445726362,-0.5676436595852284,0.269049649220636
GD,7,32,0.22242189862499998,0.6677144000000002,0.5159621025,-1.503179256412606,-0.40389474177905516,0.6978656971179361
GD,7,33,0.36704098737499996,0.6995945469999999,0.32514748675,-1.0022817549428533,-0.3572543303220408,0.845367876471488
GD,7,34,0.25969332294999997,0.8571154017675,0.25221833575,-1.3482538712716055,-0.15418271161152042,1.7915352682819692
GD,7,35,0.34245575862500005,0.35925500245,0.31352552375000003,-1.0716128015210753,-1.0237228294157055,-0.5785991084681856
GD,7,36,0.229244011125,0.39035870349999996,0.3884340175,-1.4729682919599678,-0.9406892100075576,-0.44580467670572504
GD,7,37,0.21646444375,0.7293823025,0.6689134987500001,-1.5303289771287774,-0.3155572639948639,0.9914909004283075
